"District (IN CODE)","Thana (IN CODE)","District (IN CSV)","Upazila / Thana (IN CSV)","Region"
"Rangpur","Gangachara","Rangpur","Gangachara","Rangpur"
"Rangpur","Kaunia","Rangpur","Kaunia","Rangpur"
"Rangpur","Mitha Pukur","Rangpur","Mithapukur","Rangpur"
"Rangpur","Pirgachha","Rangpur","Pirgachha","Rangpur"
"Rangpur","Pirganj","Rangpur","Pirganj","Rangpur"
"Rangpur","Rangpur Sadar","Rangpur","Rangpur Sadar","Rangpur"
"Rangpur","Taraganj","Rangpur","Taraganj","Rangpur"
"Satkhira","Assasuni","Satkhira","Assasuni","Khulna"
"Satkhira","Debhata","Satkhira","Debhata","Khulna"
"Satkhira","Kalaroa","Satkhira","Kalaroa","Khulna"
"Satkhira","Kaliganj","Satkhira","Kaliganj","Khulna"
"Satkhira","Satkhira Sadar","Satkhira","Satkhira Sadar","Khulna"
"Satkhira","Shyamnagar","Satkhira","Shyamnagar","Khulna"
"Satkhira","Tala","Satkhira","Tala","Khulna"
"Shariatpur","Bhedarganj","Shariatpur","Bhedarganj","Barisal"
"Shariatpur","Damudya","Shariatpur","Damoudya","Barisal"
"Shariatpur","Gosairhat","Shariatpur","Gosairhat","Barisal"
"Shariatpur","Naria","Shariatpur","Naria","Barisal"
"Shariatpur","Shariatpur Sadar","Shariatpur","Sariatpur Sadar","Barisal"
"Shariatpur","Zanjira","Shariatpur","Zanjira","Barisal"
"Sherpur","Jhenaigati","Sherpur","Jhenaigati","Mymensingh"
"Sherpur","Nakla","Sherpur","Nakla","Mymensingh"
"Sherpur","Nalitabari","Sherpur","Nalitabari","Mymensingh"
"Sherpur","Sherpur Sadar","Sherpur","Sherpur Sadar","Mymensingh"
"Sherpur","Sreebardi","Sherpur","Sreebardi","Mymensingh"
"Sirajganj","Belkuchi","Sirajganj","Belkuchi","Rajshahi"
"Sirajganj","Chauhali","Sirajganj","Chauhali","Rajshahi"
"Sirajganj","Kamarkhanda","Sirajganj","Kamarkhanda","Rajshahi"
"Sirajganj","Kazipur","Sirajganj","Kazipur","Rajshahi"
"Sirajganj","Royganj","Sirajganj","Rayganj","Rajshahi"
"Sirajganj","Shahjadpur","Sirajganj","Shahjadpur","Rajshahi"
"Sirajganj","Sirajganj Sadar","Sirajganj","Sirajganj Sadar","Rajshahi"
"Sirajganj","Tarash","Sirajganj","Tarash","Rajshahi"
"Sirajganj","Ullah Para","Sirajganj","Ullapara","Rajshahi"
"Sunamganj","Bishwambarpur","Sunamganj","Bishwambarpur","Sylhet"
"Sunamganj","Chhatak","Sunamganj","Chhatak","Sylhet"
"Sunamganj","Derai","Sunamganj","Derai","Sylhet"
"Sunamganj","Dharampasha","Sunamganj","Dharmapasha","Sylhet"
"Sunamganj","Dowarabazar","Sunamganj","Dowara Bazar","Sylhet"
"Sunamganj","Jagannathpur","Sunamganj","Jagannathpur","Sylhet"
"Sunamganj","Jamalganj","Sunamganj","Jamalganj","Sylhet"
"Sunamganj","Sulla","Sunamganj","Sulla","Sylhet"
"Sunamganj","Sunamganj Sadar","Sunamganj","Sunamganj Sadar","Sylhet"
"Sunamganj","Tahirpur","Sunamganj","Tahirpur","Sylhet"
"Sylhet","Balaganj","Sylhet","Balaganj","Sylhet"
"Sylhet","Beani Bazar","Sylhet","Beanibazar","Sylhet"
"Sylhet","Bishwanath","Sylhet","Bishwanath","Sylhet"
"Sylhet","Companiganj","Sylhet","Companiganj","Sylhet"
"Sylhet","Fenchuganj","Sylhet","Fenchuganj","Sylhet"
"Sylhet","Golabganj","Sylhet","Golabganj","Sylhet"
"Sylhet","Gowainghat","Sylhet","Gowainghat","Sylhet"
"Sylhet","Jaintiapur","Sylhet","Jaintapur","Sylhet"
"Sylhet","Kanaighat","Sylhet","Kanaighat","Sylhet"
"Sylhet","Sylhet Sadar","Sylhet","Sylhet Sadar","Sylhet"
"Sylhet","Zakiganj","Sylhet","Zakiganj","Sylhet"
"Tangail","Basail","Tangail","Basail","Mymensingh"
"Tangail","Bhuapur","Tangail","Bhuapur","Mymensingh"
"Tangail","Delduar","Tangail","Delduar","Mymensingh"
"Tangail","Ghatail","Tangail","Ghatail","Mymensingh"
"Tangail","Gopalpur","Tangail","Gopalpur","Mymensingh"
"Tangail","Kalihati","Tangail","Kalihati","Mymensingh"
"Tangail","Madhupur","Tangail","Madhupur","Mymensingh"
"Tangail","Mirzapur","Tangail","Mirzapur","Mymensingh"
"Tangail","Nagarpur","Tangail","Nagarpur","Mymensingh"
"Tangail","Sakhipur","Tangail","Sakhipur","Mymensingh"
"Tangail","Tangail Sadar","Tangail","Tangail Sadar","Mymensingh"
"Thakurgaon","Baliadangi","Thakurgaon","Balladangi","Rangpur"
"Thakurgaon","Haripur","Thakurgaon","Haripur","Rangpur"
"Thakurgaon","Pirganj","Thakurgaon","Pirganj","Rangpur"
"Thakurgaon","Ranisankail","Thakurgaon","Ranisankail","Rangpur"
"Thakurgaon","Thakurgaon Sadar","Thakurgaon","Thakurgaonsad","Rangpur"
